Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A method for automatic evaluation of fault effects in the advanced intelligent network,H. Suzuki; H. Kawamura; T. Akiyama; N. Takahashi,"NTT Commun. Switching Labs., Tokyo, Japan; NTT Commun. Switching Labs., Tokyo, Japan; NTT Commun. Switching Labs., Tokyo, Japan; NTT Commun. Switching Labs., Tokyo, Japan",Proceedings of GLOBECOM '93. IEEE Global Telecommunications Conference,,1993,,,234,238 vol.1,"The method described here provides network operators with criteria for deciding the priorities with which services degraded by network faults should be restored. This method consists of four processes: the first lists the unavailable services of customers affected by the fault, the second predicts the mean time needed to repair the fault, the third predicts the traffic trends for the affected services, and the fourth calculates the criteria used to decide the service restoration priorities. This method enables network operators to choose suitable means restoring services and to avoid future congestion due to faults. It also lets them respond more quickly and precisely to customer claims. We are introducing this method into our advanced IN operations systems.<<ETX>>",,0-7803-0917,10.1109/GLOCOM.1993.318129,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=318129,,Intelligent networks;Degradation;Computer architecture;Communication switching;Laboratories;Telecommunication traffic;Stability;Monitoring;Customer service;Application software,intelligent networks;telecommunication network management;automatic test equipment;telecommunications computing;network operating systems;telecommunication traffic,automatic evaluation;fault effects;advanced intelligent network;network faults;unavailable services;mean time to repair;traffic trends prediction;service restoration priorities;operations systems,,7,6,,,,,,IEEE,IEEE Conferences
New probabilistic measures for accelerating the automatic test pattern generation algorithm,B. Phillips; S. Ganesan; C. Bacon,"Software Div. Tinker AFB, USA; Software Div. Tinker AFB, USA; NA",AUTOTESTCON 93,,1993,,,503,512,"In order to approximate the signal controllabilities, the authors introduce new probabilistic measures called signal priorities, whose computation relies on the minimum-value distributions of fanout input variables of a digital circuit. The signal priorities serve the same purpose as do the signal controllabilities. That is, they are used to accelerate the automatic test pattern generation algorithm; however, their computation requires much less effort. This new method is formally defined and tested with several practical example circuits.<<ETX>>",,0-7803-0646,10.1109/AUTEST.1993.396314,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=396314,,Life estimation;Automatic test pattern generation;Circuit testing;Circuit faults;Automatic testing;Acceleration;Combinational circuits;Digital circuits;Electrical fault detection;Fault detection,automatic test software;probability;automatic programming;controllability;fault location;digital circuits;fault diagnosis;logic testing;signal processing,stuck-at faults;digital circuits;automatic test pattern generation algorithm;signal controllabilities;probabilistic measures;signal priorities;minimum-value distributions;fanout input variables;digital circuit,,,8,,,,,,IEEE,IEEE Conferences
Cost-benefit analysis of electric power system reliability,K. N. Tinnium; P. Rastgoufard; P. F. Duvoisin,"Electr. Power Res. Lab., Tulane Univ., New Orleans, LA, USA; Electr. Power Res. Lab., Tulane Univ., New Orleans, LA, USA; Electr. Power Res. Lab., Tulane Univ., New Orleans, LA, USA",Proceedings of 26th Southeastern Symposium on System Theory,,1994,,,468,472,"The purpose of this investigation is to determine an appropriate cost-benefit formula that will help the power system planners in prioritizing transmission system projects. This paper deals with describing the value of increased reliability and security in bulk power systems. Three different approaches used for prioritization of transmission system projects by the electric utilities are discussed and analyzed for two different transmission system alternatives. Utilizing the best approach, transmission alternatives are prioritized and the best alternative is placed on top of the prioritized table. An analysis of the three approaches and a relative comparison is performed on the IEEE 25 bus Reliability Test System. TRELSS (Transmission Reliability Evaluation of Large Scale Systems), a software package developed by EPRI, is utilized in determining the probabilistic indices that are used in the proposed approach.<<ETX>>",0094-2898,0-8186-5320,10.1109/SSST.1994.287831,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=287831,,Cost benefit analysis;Power system reliability;Power system security;Power system analysis computing;Power industry;Performance analysis;Performance evaluation;System testing;Large-scale systems;Software packages,power system reliability;power system analysis computing;costing;economics,electric power system reliability;cost-benefit analysis;power system planners;security;bulk power systems;transmission system projects prioritisation;electric utilities;IEEE 25 bus Reliability Test System;TRELSS;Transmission Reliability Evaluation of Large Scale Systems;software package;probabilistic indices,,2,9,,,,,,IEEE,IEEE Conferences
Priority based data flow testing,R. Gupta; M. L. Soffa,"Dept. of Comput. Sci., Pittsburgh Univ., PA, USA; Dept. of Comput. Sci., Pittsburgh Univ., PA, USA",Proceedings of International Conference on Software Maintenance,,1995,,,348,357,"Software testing is an expensive component of software development and maintenance. For data flow testing, test cases must be found to test the def-use pairs in a program. Since some of the def-use pairs identified through static analysis may be infeasible, no amount of testing effort may result in exhaustive testing of a program. Therefore in practice a fixed amount of effort is spent in testing a program. We develop an approach for assigning priorities to def-use pairs, such that the def-use pairs with higher priorities can be expected to require less effort for test case generation and therefore testing. Thus, by using the priorities as a guide for ordering the def-use pairs for testing, we can maximize the number of def-use pairs tested using a fixed amount of testing effort. We apply the technique to regression testing during the software maintenance phase, in which case the priorities are assigned to capture not only the difficulty in test case generation but also the likelihood that an error introduced by a program change is uncovered by the test case.",1063-6773,0-8186-7141-60-8186-7677,10.1109/ICSM.1995.526556,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=526556,,Software testing;Computer science;Software maintenance;Data analysis,data flow analysis;program diagnostics;program testing;software maintenance;statistical analysis,priority based data flow testing;software testing;software development;software maintenance;def-use pairs;test case generation;regression testing;error;program change,,2,11,,,,,,IEEE,IEEE Conferences
The peer tasking design method,N. R. Howes; J. D. Wood; A. Goforth,"Inst. for Defense Anal., Alexandria, VA, USA; Inst. for Defense Anal., Alexandria, VA, USA; NA",Proceedings of Third Workshop on Parallel and Distributed Real-Time Systems,,1995,,,20,29,"This paper is a preliminary report of an ARPA sponsored study. It focuses on designing real-time command and control or battle management systems for parallel and distributed architectures. Due to delays in other ARPA programs, the targeted architectures were not available during the time frame of the study. The results of the study were, however, tested on more conventional sequential and parallel platforms. The design method discussed here is fundamentally different from those assumed by current real-time scheduling theories, e.g., rate-monotonic, earliest-deadline-first, least-laxity or best-effort. These theories assume that the fundamental unit of prioritization is the task. In this new method, the fundamental unit of prioritization is called a work item. Work items are functions the system performs that have timing requirements (deadlines) associated with them in the requirements specification. Current scheduling theories are applied using artifact deadlines introduced by designers whereas this new method schedules work items to meet specification deadlines (sometimes called end-to-end deadlines) required by the user. With this method, tasks have no priorities. A collection of tasks with no priorities will be called a collection of peer tasks. The study showed that it is possible to schedule work items based on importance rather than urgency while still meeting as many work item deadlines as can be met by scheduling tasks with respect to urgency. Also, it showed that the minimum on-line deadline that can be guaranteed for a work item of highest importance, scheduled at run-time, is approximately the inverse of the throughput, measured in work items per second, for a work load consisting only of work items of that type. Further, it was shown that it provides optimal utilization of a single processor machine, and that its timing behavior is predictable (provable) for both single and multiprocessor machines. Finally, it was shown that throughput is not degraded during overload.<<ETX>>",,0-8186-7099,10.1109/WPDRTS.1995.470511,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=470511,,Design methodology;Timing;Throughput;Peer to peer computing;Real time systems;Command and control systems;Delay effects;Sequential analysis;Processor scheduling;Runtime,delays;processor scheduling;parallel architectures;real-time systems;command and control systems,peer tasking design method;real-time command and control;battle management systems;distributed architectures;parallel architectures;real-time scheduling;work item;timing requirements;end-to-end deadlines;multiprocessor,,2,14,,,,,,IEEE,IEEE Conferences
High-level synthesis of recoverable microarchitectures,S. Y. Ohm; D. M. Blough; F. J. Kurdahi,"Dept. of Electr. & Comput. Eng., California Univ., Irvine, CA, USA; Dept. of Electr. & Comput. Eng., California Univ., Irvine, CA, USA; Dept. of Electr. & Comput. Eng., California Univ., Irvine, CA, USA",Proceedings ED&TC European Design and Test Conference,,1996,,,55,62,Two algorithms that combine the operations of scheduling and recovery point insertion for high-level synthesis of recoverable microarchitectures are presented. The first uses a prioritized cost function in which functional unit cost is minimized first and register cost second. The second algorithm minimizes a weighted sum of functional unit and register costs. Both algorithms are optimal according to their respective cost functions and require less than 10 minutes of CPU time on widely-used high-level synthesis benchmarks. The best previous result reported several hours of CPU time for some of the same benchmarks.,1066-1409,0-8186-7424,10.1109/EDTC.1996.494128,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494128,,High level synthesis;Microarchitecture;Cost function;Scheduling algorithm;Hardware;Registers;Processor scheduling;Digital systems;Fault tolerant systems;Application software,high level synthesis;reconfigurable architectures;scheduling;digital systems;data flow graphs,high-level synthesis;recoverable microarchitectures;scheduling;recovery point insertion;prioritized cost function;functional unit cost;register cost;weighted sum;benchmarks;fault-tolerant digital systems;CDFG;control and data flow graph,,4,15,,,,,,IEEE,IEEE Conferences
Selecting engineering techniques using fuzzy logic based decision support,P. Liggesmeyer,"Corp. Res. & Dev., Software & Eng., Siemens AG, Munich, Germany",Proceedings IEEE Symposium and Workshop on Engineering of Computer-Based Systems,,1996,,,427,434,"The task of selecting software engineering methods, techniques, metrics, and tools is usually performed manually, based on the expertise of individuals. This paper presents a systematic tool supported approach, that bases its suggestions an the technical situation, the existing goals, and constraints of a specific organization or a particular project. A prototype of the decision support system supports the elaboration of test strategies. The approach uses information about the technical situation that is provided by answering predefined questions with fuzzy data. The objective is to assign ""adequacy values"" to combinations of test methods, techniques, metrics, tools, and quantified test situations. The priorities of goals and constraints have assessed by applying a technique that is based on comparing goals in pairs. This permits to check certain consistency criteria by static analysis. A hierarchy of the importance of goals and constraints is calculated, which provides the basis for the determination of the suitability of test methods; techniques, metrics, and tools with respect to goals and constraints.",,0-8186-7355,10.1109/ECBS.1996.494570,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494570,,Fuzzy logic;Software testing;Software engineering;Prototypes;Decision support systems;System testing;Programming;Process control;Research and development;Design engineering,fuzzy logic;decision support systems;software tools;system monitoring;systems software;software metrics,metrics;fuzzy logic based decision support;software engineering method selection;tools;systematic tool supported approach;technical situation;goals;constraints;decision support system;test strategies;predefined questions;fuzzy data;adequacy values;quantified test situations;goal comparison;consistency criteria checking;static analysis,,2,26,,,,,,IEEE,IEEE Conferences
A high-level synthesis approach to design of fault-tolerant systems,G. Buonanno; M. Pugassi; M. G. Sami,"Dipt. di Elettronica, Politecnico di Milano, Italy; NA; NA",Proceedings. 15th IEEE VLSI Test Symposium (Cat. No.97TB100125),,1997,,,356,361,"Fault-tolerance in embedded systems is a requirement of increasing importance; solutions must achieve a balance between performances and costs that was not usually requested in design of more classical fault-tolerant applications and that involves as a consequence new approaches. A design technique is here proposed supporting fault-tolerance of hardware modules in complex hardware-software systems, fault-tolerance requirements for each hardware-mapped process are specified in terms of time constraints and of relative priorities, and a high-level synthesis methodology allowing to design - for each process - a processor capable of supporting both the nominal execution of the process itself in a fault-free environment and simultaneous execution of a reconfigured pair of processes in a fault-affected environment is defined Performances of the scheduling algorithm, allowing to achieve reconfiguration with minimum resource increase and within the required limits of speed degradation, are evaluated on some relevant instances of algorithms discussed in current literature on high-level synthesis.",1093-0167,0-8186-7810,10.1109/VTEST.1997.600305,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=600305,,High level synthesis;Fault tolerant systems;Algorithm design and analysis;Scheduling algorithm;Embedded system;Costs;Hardware;Time factors;Design methodology;Performance evaluation,fault tolerant computing;high level synthesis;real-time systems;reconfigurable architectures,high-level synthesis;design;fault-tolerant system;embedded system;hardware-software system;cost;processor;scheduling algorithm;reconfiguration,,6,10,,,,,,IEEE,IEEE Conferences
A multi-platform support environment,G. Miyahara; C. P. Satterthwaite,"Hughes Aircraft Co., Los Angeles, CA, USA; NA",Proceedings of the IEEE 1997 National Aerospace and Electronics Conference. NAECON 1997,,1997,2,,815,819 vol.2,"Legacy weapon systems, such as attack aircraft, have taken advantage of embedded computers and software to provide enormous capabilities for flexibility and expandability. The provision of these capabilities has been at a cost, and that is in the dedicated software development facilities which have sprung up to support these legacy systems. Unfortunately, the costs of these dedicated facilities is becoming prohibitive. The Advanced Avionics Multi-Radar Software Support Study (AAMRSSS) project offers experience in handling the above problem. AAMRSSS studied the feasibility of using a dedicated Software Development Facility (SDF) to support multiple software system platforms. Issues of the study were: commonality; unique requirements of the new system to be added; platform priorities; and future expansion. In particular, this study has addressed supporting the AC-130U Gunship's Radar Operational Flight Program (OFF) in the F-15's Radar Software Development Facility.",,0-7803-3725,10.1109/NAECON.1997.622734,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=622734,,Weapons;Embedded software;Software systems;Radar;Costs;Aerospace electronics;Aircraft;Software testing;System testing;Embedded system,military avionics;real-time systems;radar computing;project support environments;military computing;weapons;aircraft computers;aerospace simulation;airborne radar,multi-platform support environment;legacy weapon systems;attack aircraft;AAMRSSS project;dedicated software development facility;multiple software system platforms;commonality;platform priorities;future expansion;radar operational flight program support;radar software development facility;embedded computers;weapon system embedded software;shared platform support;target generator;simulation models;avionics software,,2,5,,,,,,IEEE,IEEE Conferences
A study of effective regression testing in practice,W. E. Wong; J. R. Horgan; S. London; H. Agrawal,"Bellcore, Morristown, NJ, USA; NA; NA; NA",Proceedings The Eighth International Symposium on Software Reliability Engineering,,1997,,,264,274,"The purpose of regression testing is to ensure that changes made to software, such as adding new features or modifying existing features, have not adversely affected features of the software that should not change. Regression testing is usually performed by running some, or all, of the test cases created to test modifications in previous versions of the software. Many techniques have been reported on how to select regression tests so that the number of test cases does not grow too large as the software evolves. Our proposed hybrid technique combines modification, minimization and prioritization-based selection using a list of source code changes and the execution traces from test cases run on previous versions. This technique seeks to identify a representative subset of all test cases that may result in different output behavior on the new software version. We report our experience with a tool called ATAC (Automatic Testing Analysis tool in C) which implements this technique.",,0-8186-8120,10.1109/ISSRE.1997.630875,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=630875,,Software testing;Performance evaluation;Software performance;Software debugging;Computer bugs;Time factors,statistical analysis;configuration management;software maintenance;program testing;software tools;minimisation,regression testing;software changes;software features;test cases;program modifications;previous software versions;hybrid technique;modification-based test selection;prioritization-based selection;source code changes;execution traces;representative subset;output behavior;ATAC;Automatic Testing Analysis tool in C;test set minimization;test set prioritization,,130,25,,,,,,IEEE,IEEE Conferences
A systematic tradeoff analysis for conflicting imprecise requirements,J. Yen; W. A. Tiao,"Dept. of Comput. Sci., Texas A&M Univ., College Station, TX, USA; NA",Proceedings of ISRE '97: 3rd IEEE International Symposium on Requirements Engineering,,1997,,,87,96,"The need to deal with conflicting system requirements has become increasingly important over the past several years. Often, these requirements are elastic in that they can be satisfied to a degree. The overall goal of this research is to develop a formal framework that facilitates the identification and the tradeoff analysis of conflicting requirements by explicitly capturing their elasticity. Based on a fuzzy set theoretic foundation for representing imprecise requirements, we describe a systematic approach for analyzing the tradeoffs between conflicting requirements using the techniques in decision science. The systematic tradeoff analyses are used for three important tasks in the requirement engineering process: (1) for validating the structure used in aggregating prioritized requirements, (2) for identifying the structures and the parameters of the underlying representation of imprecise requirements and (3) for assessing the priorities of conflicting requirements. We illustrate these techniques using the requirements of a conference room scheduling system.",,0-8186-7740,10.1109/ISRE.1997.566845,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=566845,,Fuzzy logic;Testing;Cost function;Fuzzy sets;Fuzzy systems;Marine vehicles,formal specification;systems analysis,imprecise requirements;tradeoff analysis;fuzzy set theory;requirement engineering process;conference room scheduling system;prioritized requirements,,18,15,,,,,,IEEE,IEEE Conferences
