"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Code coverage-based regression test selection and prioritization in WebKit","Á. Beszédes; T. Gergely; L. Schrettner; J. Jász; L. Langó; T. Gyimóthy","University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary; University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary; University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary; University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary; University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary; University of Szeged, Department of Software Engineering & HAS Research Group on AI, Szeged, Hungary","2012 28th IEEE International Conference on Software Maintenance (ICSM)","","2012","","","46","55","Automated regression testing is often crucial in order to maintain the quality of a continuously evolving software system. However, in many cases regression test suites tend to grow too large to be suitable for full re-execution at each change of the software. In this case selective retesting can be applied to reduce the testing cost while maintaining similar defect detection capability. One of the basic test selection methods is the one based on code coverage information, where only those tests are included that cover some parts of the changes. We experimentally applied this method to the open source web browser engine project WebKit to find out the technical difficulties and the expected benefits if this method is to be introduced into the actual build process. Although the principle is simple, we had to solve a number of technical issues, so we report how this method was adapted to be used in the official build environment. Second, we present results about the selection capabilities for a selected set of revisions of WebKit, which are promising. We also applied different test case prioritization strategies to further reduce the number of tests to execute. We explain these strategies and compare their usefulness in terms of defect detection and test suite reduction.","1063-6773","978-1-4673-2312-3978-1-4673-2313","10.1109/ICSM.2012.6405252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405252","Regression testing;test case selection;code coverage;test prioritization;test quality;WebKit","Testing;Databases;Reliability;Conferences;Software maintenance;Communities;Instruments","Internet;program testing;public domain software;regression analysis","code coverage-based regression testing;regression test selection;regression test prioritization;WebKit;continuously evolving software system;software change;selective retesting;testing cost reduction;defect detection capability;code coverage information;open source web browser engine project;test suite reduction","","7","16","","","","","","IEEE","IEEE Conferences"
"Prioritizing interaction test suite for t-way testing","S. K. Said; R. R. Othman; K. Z. Zamli","School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia; School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia; School of Electrical and Electronic Engineering, Universiti Sains Malaysia Enginering Campus, 14300 Nibong Tebal, Penang, Malaysia","2011 Malaysian Conference in Software Engineering","","2011","","","292","297","In recent years, many new t-way interaction based strategies (where t indicates the interaction strength), particularly based on covering arrays, have been developed in the literature. In search of an optimal strategy that generates the most minimum number of tests, many of existing t-way strategies have not sufficiently dealt with test prioritization (i.e. in terms of maximizing new interaction coverage per test). Addressing this issue, this paper highlights a useful prioritization algorithm to reorganize the test cases in order to improve the rate of interaction coverage. This algorithm takes a pre-generated t-way test suite as input and automatically generates a priority ordered test suite as output. In order to demonstrate its applicability, this paper demonstrates the use of the algorithm to help prioritize the test suite generated by existing t-way strategy, MC-MIPOG.","","978-1-4577-1531-0978-1-4577-1530-3978-1-4577-1529","10.1109/MySEC.2011.6140686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140686","Interaction Testing;Test Prioritization","Software testing;Algorithm design and analysis;Software;Software engineering;Generators;Arrays","program testing","interaction test suite;t-way testing;t-way interaction based strategy;optimal strategy;test prioritization;pregenerated t-way test suite;MC-MIPOG","","2","16","","","","","","IEEE","IEEE Conferences"
"Software Test Data Generation Automatically Based on Improved Adaptive Particle Swarm Optimizer","X. Zhu; X. Yang","NA; NA","2010 International Conference on Computational and Information Sciences","","2010","","","1300","1303","To advance efficiency of software test data generation automatically, based on traditional particle swarm optimizer (PSO) algorithm, we put forward an improved algorithm (APSO) in which inertia weight is adjusted according to the fitness value of particle. Experiment simulation result shows that APSO not only has better performance than immune genetic algorithm (IGA) but also better than PSO, and has broad application prospect in software test.","","978-1-4244-8814-8978-0-7695-4270","10.1109/ICCIS.2010.321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5709521","particle swarm optimizer (PSO);adaptive;software test","Software;Software algorithms;Convergence;Algorithm design and analysis;Software testing;Optimization","particle swarm optimisation;program compilers;program testing","software test data generation;adaptive particle swarm optimizer;APSO;immune genetic algorithm","","2","7","","","","","","IEEE","IEEE Conferences"
"Test Case Prioritization Technique Based on Genetic Algorithm","W. Jun; Z. Yan; J. Chen","NA; NA; NA","2011 International Conference on Internet Computing and Information Services","","2011","","","173","175","With the rapid development of information technology, software testing, as a software quality assurance, is becoming more and more important. In the software life cycle, each time the code has changed need to be regression testing. The huge test case library makes running a full test case library being challenged. To this end, we designed a genetic algorithm-based test case prioritization algorithm and improved the genetic algorithm proposed software test case prioritization algorithm.","","978-1-4577-1561","10.1109/ICICIS.2011.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6063222","Software Testing;Test Case Prioritization;Genetic Algorithms;APBC","","genetic algorithms;program testing;quality assurance;regression analysis;software quality","information technology;software testing;software quality assurance;software life cycle;regression testing;test case library;genetic algorithm-based test case prioritization algorithm","","3","5","","","","","","IEEE","IEEE Conferences"
"Requirement-based test case generation and prioritization","Y. I. Salem; R. Hassan","College of Computing and Information Systems, Arab Academy for Science and Technology, Cairo, Egypt; College of Computing and Information Systems, Arab Academy for Science and Technology, Cairo, Egypt","2010 International Computer Engineering Conference (ICENCO)","","2010","","","152","157","Software release testing is a critical phase in the software development life cycle, as it validates the software against its requirements. Designing comprehensive release test cases that are driven by the software requirements remain the major success factor of the testing phase as far as the software customers are concerned. Further, availing sufficient traceability information to ensure complete coverage of requirements validation in the designed test case suite is significant to software quality assurance. In this paper, we propose a systematic mechanism to derive a set of release test cases from a set of requirements modeled with the Genetic Software Engineering (GSE) method. GSE models functional requirements with a semi-formal visual notation called Behavior Trees (BT). Our algorithm prioritizes the requirements modeled with BTs and derives a set of prioritized release test cases systematically. Additionally, our algorithm provides sufficient traceability information relating test cases to the requirements being tested. This allows for ensuring completeness of test case coverage. We also demonstrate our test case derivation mechanism through a case study.","","978-1-61284-185-4978-1-61284-184-7978-1-61284-183","10.1109/ICENCO.2010.5720443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5720443","requirements-driven testig test case prioritization;test case generation","Unified modeling language;Semantics;Software;Systematics","program testing;project management;quality assurance;software quality;trees (mathematics)","software release testing;software development life cycle;software requirements;software customers;software quality assurance;genetic software engineering;GSE models;behavior trees;test case generation;test case prioritization","","1","15","","","","","","IEEE","IEEE Conferences"
"Cost Optimizations in Runtime Testing and Diagnosis of Systems of Systems","A. Gonzalez-Sanchez","NA","2011 Fourth IEEE International Conference on Software Testing, Verification and Validation","","2011","","","439","442","In practically all development processes tests are used to detect the presence of faults. This is not an exception for critical and high-availability systems. However, these systems cannot be taken offline or duplicated for testing in some cases. This makes runtime testing necessary. This paper presents work aimed at optimizing the three main sources of testing cost: preparation, execution and diagnosis. First, preparation cost is optimized by defining a metric of the runtime testability of the system, used to elaborate an implementation plan of preparative work for runtime testing. Second, the interrelated nature of test execution cost and diagnostic cost is highlighted and a new diagnostic test prioritization is introduced.","2159-4848","978-1-61284-174-8978-0-7695-4342","10.1109/ICST.2011.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5770638","runtime testing;diagnostic prioritization","Software testing;Conferences","program diagnostics;program testing","cost optimizations;runtime testing;runtime diagnosis;systems of systems;testing cost;preparation;runtime testability;implementation plan;test execution cost;diagnostic cost;diagnostic test prioritization","","","19","","","","","","IEEE","IEEE Conferences"
"Design and Analysis of Cost-Cognizant Test Case Prioritization Using Genetic Algorithm with Test History","Y. Huang; C. Huang; J. Chang; T. Chen","NA; NA; NA; NA","2010 IEEE 34th Annual Computer Software and Applications Conference","","2010","","","413","418","During software development, regression testing is usually used to assure the quality of modified software. The techniques of test case prioritization schedule the test cases for regression testing in an order that attempts to increase the effectiveness in accordance with some performance goal. The most general goal is the rate of fault detection. It assumes all test case costs and fault severities are uniform. However, those factors usually vary. In order to produce a more satisfactory order, the cost-cognizant metric that incorporates varying test case costs and fault severities is proposed. In this paper, we propose a cost-cognizant test case prioritization technique based on the use of historical records and a genetic algorithm. We run a controlled experiment to evaluate the proposed technique's effectiveness. Experimental results indicate that our proposed technique frequently yields a higher Average Percentage of Faults Detected per Cost (APFDc). The results also show that our proposed technique is also useful in terms of APFDc when all test case costs and fault severities are uniform.","0730-3157;0730-3157;0730-3157","978-1-4244-7513-1978-1-4244-7512-4978-0-7695-4085","10.1109/COMPSAC.2010.66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5676289","regression testing;cost-cognizant test case prioritizaion;test cost;fault severity;rate of fault detection;Average Percentage of Faults Detected pre Cost(APFDc)","Testing;Biological cells;Fault detection;Measurement;Gallium;Search problems;Schedules","genetic algorithms;program testing;regression analysis;scheduling;software fault tolerance;software metrics;software quality","cost-cognizant test case prioritization technique;genetic algorithm;test history;software development;regression testing;modified software quality;test case prioritization schedule technique;fault detection;cost-cognizant metric;average percentage of faults detected per cost;APFDc","","6","12","","","","","","IEEE","IEEE Conferences"
"Critical components identification and verification for effective software test prioritization","D. J. Mala; M. R. Praba","Dept. of Computer Applications, Thiagarajar College of Engineering, Madurai; Dept. of MCA, KLN College of Information Technology, Madurai","2011 Third International Conference on Advanced Computing","","2011","","","181","186","Nowadays, software complexity increases as the number of components in a component based system (CBS) increases. As the complexity level increases, the testing and verification of components also increases. This in turn rose up the testing time and cost which thus made industries to skip off some of the components due to the hard timeline and resource limitations especially during maintenance. This leads to hazardous effects if some of these missed components are critical in term of their core functionality and dependability with other components. Hence, a regression testing which is usually performed during maintenance phase should be developed meticulously to identify and test these critical components rigorously before releasing the software on to the customer side. This paper proposed a novel regression testing method based on the criticality measure calculated by means of dependability metrics and internal complexity metrics. Also, this paper compares the performance of the proposed approach with existing approaches and concluded that the proposed framework outperforms them.","2377-6927","978-1-4673-0671-3978-1-4673-0670-6978-1-4673-0669","10.1109/ICoAC.2011.6165171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6165171","Software Testing;Test prioritization;Component based Testing;Critical component;dependency metrics and Component metrics","Measurement;Software;Complexity theory;Software testing;Programming;Couplings","object-oriented programming;program testing;program verification;regression analysis;software maintenance;software metrics;statistical testing","software test prioritization;critical component identification;critical component verification;software complexity;component based system;software maintenance;core functionality;regression testing;criticality measure;dependability metrics","","","16","","","","","","IEEE","IEEE Conferences"
"Improving Regression Testing Transparency and Efficiency with History-Based Prioritization -- An Industrial Case Study","E. Engström; P. Runeson; A. Ljung","NA; NA; NA","2011 Fourth IEEE International Conference on Software Testing, Verification and Validation","","2011","","","367","376","Background: History based regression testing was proposed as a basis for automating regression test selection, for the purpose of improving transparency and test efficiency, at the function test level in a large scale software development organization. Aim: The study aims at investigating the current manual regression testing process as well as adopting, implementing and evaluating the effect of the proposed method. Method: A case study was launched including: identification of important factors for prioritization and selection of test cases, implementation of the method, and a quantitative and qualitative evaluation. Results: 10 different factors, of which two are history-based, are identified as important for selection. Most of the information needed is available in the test management and error reporting systems while some is embedded in the process. Transparency is increased through a semi-automated method. Our quantitative evaluation indicates a possibility to improve efficiency, while the qualitative evaluation supports the general principles of history-based testing but suggests changes in implementation details.","2159-4848","978-1-61284-174-8978-0-7695-4342","10.1109/ICST.2011.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5770626","regression testing;history-based prioritization;regression test selection;regression test prioritization;empirical evaluation;industrial case study;function testing","Testing;Software;History;Equations;Interviews;Context;Systematics","program testing;software houses","regression testing transparency;history-based prioritization;history based regression testing;regression test selection automation;large scale software development organization;manual regression testing process;test management systems;error reporting systems","","8","22","","","","","","IEEE","IEEE Conferences"
"Developing a Single Model and Test Prioritization Strategies for Event-Driven Software","R. C. Bryce; S. Sampath; A. M. Memon","Utah State University, Logan; University of Maryland, Baltimore; University of Maryland, College Park","IEEE Transactions on Software Engineering","","2011","37","1","48","64","Event-Driven Software (EDS) can change state based on incoming events; common examples are GUI and Web applications. These EDSs pose a challenge to testing because there are a large number of possible event sequences that users can invoke through a user interface. While valuable contributions have been made for testing these two subclasses of EDS, such efforts have been disjoint. This work provides the first single model that is generic enough to study GUI and Web applications together. In this paper, we use the model to define generic prioritization criteria that are applicable to both GUI and Web applications. Our ultimate goal is to evolve the model and use it to develop a unified theory of how all EDS should be tested. An empirical study reveals that the GUI and Web-based applications, when recast using the new model, show similar behavior. For example, a criterion that gives priority to all pairs of event interactions did well for GUI and Web applications; another criterion that gives priority to the smallest number of parameter value settings did poorly for both. These results reinforce our belief that these two subclasses of applications should be modeled and studied together.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2010.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401169","Combinatorial interaction testing;covering arrays;event-driven software (EDS);t-way interaction coverage;test suite prioritization;user-session testing;Web application testing;GUI testing.","Software testing;Graphical user interfaces;Application software;Computer science;User interfaces;Protocols;Embedded software;Information systems;Educational institutions;Abstracts","graphical user interfaces;Internet;program testing;service-oriented architecture","event-driven software;test prioritization strategy;EDS;GUI testing;Web application testing;graphical user interface","","63","28","","","","","","IEEE","IEEE Journals & Magazines"
"Optimal software testing case research based on self-learning control algorithm","Lulu; Pan Shaobin; Huang Ying","Sch. of Comput. Sci. &amp; Eng., South China Univ. of Technol., Guangzhou, China; Sch. of Comput. Sci. &amp; Eng., South China Univ. of Technol., Guangzhou, China; Sch. of Comput. Sci. &amp; Eng., South China Univ. of Technol., Guangzhou, China","The 2nd International Conference on Software Engineering and Data Mining","","2010","","","106","110","This paper demonstrates an approach to optimizing software testing cases by rapidly fixing software deficiency with given software parameter uncertainty during a regressive testing process. Taking the software testing process into a time-varied system control problem, a state transform matrix model is presented. Because regressive testing is an iterative process, the two-dimensional variable-factor self-learning strategy is used to optimize the test case. The simulation results show that the learning control strategy is better than either random testing or the Markov testing strategy, and it can significantly reduce regressive test numbers and save test costs.","","978-89-88678-22-0978-1-4244-7324","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5542941","Software Testing;State Transforms Matrix;Self-Learning Control;Convergence","Software testing;Optimal control;Software algorithms;Automatic testing;Design optimization;Software systems;Uncertain systems;System testing;Computer science;Paper technology","adaptive control;iterative methods;learning systems;Markov processes;matrix algebra;program testing","optimal software testing;self-learning control algorithm;software deficiency;software parameter uncertainty;regressive testing process;time-varied system control problem;state transform matrix model;iterative process;two-dimensional variable-factor self-learning strategy;Markov testing strategy;regressive test numbers","","","15","","","","","","IEEE","IEEE Conferences"
