"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automated software test data generation for complex programs","C. Michael; G. McGraw","Reliable Software Technol., Sterling, VA, USA; NA","Proceedings 13th IEEE International Conference on Automated Software Engineering (Cat. No.98EX239)","","1998","","","136","146","We report on GADGET, a new software test generation system that uses combinatorial optimization to obtain condition/decision coverage of C/C++ programs. The GADGET system is fully automatic and supports all C/C++ language constructs. This allows us to generate tests for programs more complex than those previously reported in the literature. We address a number of issues that are encountered when automatically generating tests for complex software systems. These issues have not been discussed in earlier work on test-data generation, which concentrates on small programs (most often single functions) written in restricted programming languages.","","0-8186-8750","10.1109/ASE.1998.732605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=732605","","Automatic testing;Software testing;System testing;Performance evaluation;Instruments;Simulated annealing;Software systems;Prototypes;Genetic algorithms","program testing;optimisation;C language;C++ language;object-oriented programming","software test data generation;complex programs;GADGET;software test generation system;combinatorial optimization;condition decision coverage;C programs;C++ programs","","12","14","","","","","","IEEE","IEEE Conferences"
"A test process optimization and cost modeling tool","T. J. Moore","Digital Equipment Corp., Maynard, MA, USA","Proceedings., International Test Conference","","1994","","","103","110","This paper will describe a test process modeling tool developed by Digital Equipment Corporation in Maynard Mass. to be used by design and manufacturing process engineering to determine the most economic test process without sacrificing test coverage or yield. The test cost modeling tool can be used to understand the behavior of the test process and determine how to reduce the impact of test upon the total module manufacturing cost. This paper discusses the test process modeling tool and how it can be used to eliminate test process steps and optimize the test process.","1089-3539","0-7803-2103","10.1109/TEST.1994.527941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=527941","","Cost function;Manufacturing processes;Software testing;Databases;Design engineering;Virtual manufacturing;Process design;Steady-state;Data engineering;Surface-mount technology","optimisation;production testing;costing;economics;digital simulation;electronic engineering computing","test process optimization;cost modeling tool;Digital Equipment Corporation;Maynard Mass;economic test process;test coverage;yield;total module manufacturing cost;test process modeling tool;test cost simulation model;defect reduction economics","","2","4","","","","","","IEEE","IEEE Conferences"
"Test prioritization using system models","B. Korel; L. H. Tahat; M. Harman","Dept. of Comput. Sci., Illinois Inst. of Technol., Chicago, IL, USA; NA; NA","21st IEEE International Conference on Software Maintenance (ICSM'05)","","2005","","","559","568","During regression testing, a modified system is retested using the existing test suite. Because the size of the test suite may be very large, testers are interested in detecting faults in the system as early as possible during the retesting process. Test prioritization tries to order test cases for execution so the chances of early detection of faults during retesting are increased. The existing prioritization methods are based on the code of the system. System modeling is a widely used technique to model state-based systems. In this paper, we present methods of test prioritization based on state-based models after changes to the model and the system. The model is executed for the test suite and information about model execution is used to prioritize tests. Execution of the model is inexpensive as compared to execution of the system; therefore the overhead associated with test prioritization is relatively small. In addition, we present an analytical framework for evaluation of test prioritization methods. This framework may reduce the cost of evaluation as compared to the existing evaluation framework that is based on experimentation (observation). We have performed an experimental study in which we compared different test prioritization methods. The results of the experimental study suggest that system models may improve the effectiveness of test prioritization with respect to early fault detection.","1063-6773","0-7695-2368","10.1109/ICSM.2005.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1510150","","System testing;Fault detection;Modeling;Software systems;Software maintenance;Software testing;Computer science;Technological innovation;Educational institutions;Costs","program testing;software fault tolerance","regression testing;system modeling;state-based model;test prioritization method;fault detection","","37","18","","","","","","IEEE","IEEE Conferences"
"Predicting the order of fault-prone modules in legacy software","T. M. Khoshgoftaar; E. B. Allen","Florida Atlantic Univ., Boca Raton, FL, USA; NA","Proceedings Ninth International Symposium on Software Reliability Engineering (Cat. No.98TB100257)","","1998","","","344","353","A goal of software quality modeling is to recommend modules for reliability enhancement early enough to prevent poor quality. Reliability improvement techniques include more rigorous design and code reviews and more extensive testing. This paper introduces the concept of module-order models for guiding software reliability enhancement and provides an empirical case study that shows how such models can be used. A module-order model predicts the rank-order of modules according to a quantitative quality factor. The case study examined a large legacy telecommunications system. We found that the amount of new and changed code due to the development of a release can be a better predictor of code churn due to subsequent bug fixes, compared to software product metrics alone. In such projects, process-related measures derived from configuration management data may be adequate for software quality modeling, without resorting to software product measurement tools and expertise.","1071-9458","0-8186-8991","10.1109/ISSRE.1998.730899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730899","","Software quality;Software measurement;Testing;Software reliability;Predictive models;Q factor;Software debugging;Quality management;Project management;Software tools","software quality;software reliability;software metrics;telecommunication computing;configuration management;program testing;subroutines","fault-prone module order prediction;legacy software;software quality modeling;software reliability enhancement;rigorous design reviews;rigorous code reviews;software testing;module-order models;case study;rank-order;quantitative quality factor;telecommunications system;changed code;software release;software development;code churn;bug fixes;software product metrics;process-related measures;configuration management data;software product measurement tools;expertise","","18","11","","","","","","IEEE","IEEE Conferences"
"Optimization of reliability allocation and testing schedule for software systems","M. R. Lyu; S. Rangarajan; A. P. A. van Moorsel","AT&T Bell Labs., Murray Hill, NJ, USA; NA; NA","Proceedings The Eighth International Symposium on Software Reliability Engineering","","1997","","","336","347","To ensure an overall reliability of an integrated software system, software components of the system have to meet certain reliability requirements, subject to some testing schedule and resource constraints. The system testing activity can be formulated as a combinatorial optimization problem with known cost, reliability, effort and other attributes of the system components. In this paper, we consider the software component reliability allocation problem for a system with multiple applications. The failure rate of components used to build the applications are related to the testing cost through various types of reliability growth curves. We achieve closed-form solutions to problems where there is one single application in the system. Analytical solutions are not readily available when there are multiple applications; however, numerical solutions can be obtained using a nonlinear programming tool. To ease the specification of the optimization problem, we develop a GUI front-end to existing mathematical software. We present a systematic outline of the problem formulation and solution, and apply this to an example of a telecommunication software system.","","0-8186-8120","10.1109/ISSRE.1997.630881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=630881","","Software testing;System testing;Software systems;Application software;Redundancy;Cost function;Software reliability;Closed-form solution;Graphical user interfaces;Dynamic programming","subroutines;nonlinear programming;software reliability;program testing;integrated software;computer communications software;telecommunication computing;graphical user interfaces;mathematics computing;resource allocation;scheduling","software component reliability allocation problem;software testing schedule optimization;integrated software system;software component failure rate;resource constraints;combinatorial optimization problem;testing cost;reliability growth curves;closed-form solutions;multiple applications;numerical solutions;nonlinear programming;problem specification;GUI front-end;mathematical software;telecommunication software system","","7","21","","","","","","IEEE","IEEE Conferences"
"An automated framework for structural test-data generation","N. Tracey; J. Clark; K. Mander; J. McDermid","Dept. of Comput. Sci., York Univ., UK; NA; NA; NA","Proceedings 13th IEEE International Conference on Automated Software Engineering (Cat. No.98EX239)","","1998","","","285","288","Structural testing criteria are mandated in many software development standards and guidelines. The process of generating test data to achieve 100% coverage of a given structural coverage metric is labour-intensive and expensive. This paper presents an approach to automate the generation of such test data. The test-data generation is based on the application of a dynamic optimisation-based search for the required test data. The same approach can be generalised to solve other test-data generation problems. Three such applications are discussed-boundary value analysis, assertion/run-time exception testing, and component re-use testing. A prototype tool-set has been developed to facilitate the automatic generation of test data for these structural testing problems. The results of preliminary experiments using this technique and the prototype tool-set are presented and show the efficiency and effectiveness of this approach.","","0-8186-8750","10.1109/ASE.1998.732680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=732680","","Automatic testing;Software testing;Costs;Application software;Automation;Simulated annealing;Computer science;Programming;Software standards;Standards development","program testing;program control structures;computer aided software engineering;optimisation;search problems;boundary-value problems;exception handling;subroutines;software reusability","automated structural test-data generation;structural testing criteria;software development standards;structural coverage metric;dynamic optimisation-based search;boundary value analysis;assertion/run-time exception testing;component reuse testing;prototype tool-set;efficiency","","53","13","","","","","","IEEE","IEEE Conferences"
"Test-suite reduction and prioritization for modified condition/decision coverage","J. A. Jones; M. J. Harrold","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; NA","Proceedings IEEE International Conference on Software Maintenance. ICSM 2001","","2001","","","92","101","Software testing is particularly expensive for developers of high-assurance software, such as software that is produced for commercial airborne systems. One reason for this expense is the Federal Aviation Administration's requirement that test suites be modified condition/decision coverage (MC/DC) adequate. Despite its cost, there is evidence that MC/DC is an effective verification technique, and can help to uncover safety faults. As the software is modified and new test cases are added to the test suite, the test suite grows, and the cost of regression testing increases. To address the test-suite size problem, researchers have investigated the use of test-suite reduction algorithms, which identify a reduced test suite that provides the same coverage of the software, according to some criterion, as the original test suite, and test-suite prioritization algorithms, which identify an ordering of the test cases in the test suite according to some criteria or goals. Existing test-suite reduction and prioritization techniques, however, may not be effective in reducing or prioritizing MC/DC-adequate test suites because they do not consider the complexity of the criterion. The paper presents new algorithms for test-suite reduction and prioritization that can be tailored effectively for use with MC/DC. The paper also presents the results of a case study of the test-suite reduction algorithm.","1063-6773","0-7695-1189","10.1109/ICSM.2001.972715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=972715","","Software testing;Costs;Software algorithms;System testing;Software maintenance;Educational institutions;Safety;Electronic switching systems;FAA;Performance evaluation","program testing;program verification;software prototyping","test-suite reduction;modified condition/decision coverage;software testing;high-assurance software development;commercial airborne systems;Federal Aviation Administration;verification technique;safety faults;test cases;regression testing;test-suite size problem;test-suite prioritization algorithms;prioritization techniques;MC/DC adequate test suites;case study","","25","13","","","","","","IEEE","IEEE Conferences"
"Prioritizing test cases for regression testing","G. Rothermel; R. H. Untch; Chengyun Chu; M. J. Harrold","Dept. of Comput. Sci., Oregon State Univ., Corvallis, OR, USA; NA; NA; NA","IEEE Transactions on Software Engineering","","2001","27","10","929","948","Test case prioritization techniques schedule test cases for execution in an order that attempts to increase their effectiveness at meeting some performance goal. Various goals are possible; one involves rate of fault detection, a measure of how quickly faults are detected within the testing process. An improved rate of fault detection during testing can provide faster feedback on the system under test and let software engineers begin correcting faults earlier than might otherwise be possible. One application of prioritization techniques involves regression testing, the retesting of software following modifications; in this context, prioritization techniques can take advantage of information gathered about the previous execution of test cases to obtain test case orderings. We describe several techniques for using test execution information to prioritize test cases for regression testing, including: 1) techniques that order test cases based on their total coverage of code components; 2) techniques that order test cases based on their coverage of code components not previously covered; and 3) techniques that order test cases based on their estimated ability to reveal faults in the code components that they cover. We report the results of several experiments in which we applied these techniques to various test suites for various programs and measured the rates of fault detection achieved by the prioritized test suites, comparing those rates to the rates achieved by untreated, randomly ordered, and optimally ordered suites.","0098-5589;1939-3520;2326-3881","","10.1109/32.962562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=962562","","Computer aided software engineering;Software testing;Fault detection;Costs;Computer Society;System testing;Software maintenance;Processor scheduling;Feedback;Application software","program testing;program debugging","test case prioritization;regression testing;software testing;test case scheduling;software fault detection rate;software fault correction;code component coverage;experiments;cost-benefit analysis","","513","38","","","","","","IEEE","IEEE Journals & Magazines"
"Incorporating varying test costs and fault severities into test case prioritization","S. Elbaum; A. Malishevsky; G. Rothermel","Dept. of Comput. Sci. & Eng., Nebraska Univ., Lincoln, NE, USA; NA; NA","Proceedings of the 23rd International Conference on Software Engineering. ICSE 2001","","2001","","","329","338","Test case prioritization techniques schedule test cases for regression testing in an order that increases their ability to meet some performance goal. One performance goal, rate of fault detection, measures how quickly faults are detected within the testing process. In previous work (S. Elbaum et al., 2000; G. Rothermel et al., 1999), we provided a metric, APFD, for measuring rate of fault detection, and techniques for prioritizing test cases to improve APFD, and reported the results of experiments using those techniques. This metric and these techniques, however, applied only in cases in which test costs and fault severity are uniform. We present a new metric for assessing the rate of fault detection of prioritized test cases that incorporates varying test case and fault costs. We present the results of a case study illustrating the application of the metric. This study raises several practical questions that might arise in applying test case prioritization; we discuss how practitioners could go about answering these questions.","0270-5257","0-7695-1050","10.1109/ICSE.2001.919106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=919106","","Costs;Computer aided software engineering;Fault detection;Software testing;Job shop scheduling;Computer science;System testing;Processor scheduling;Application software;Frequency","program testing;software metrics;software cost estimation","varying test costs;fault severities;test case prioritization;regression testing;performance goal;fault detection rate;testing process;APFD;fault severity;prioritized test cases;varying test case costs;fault costs;case study","","98","13","","","","","","IEEE","IEEE Conferences"
"Test factoring: focusing test suites for the task at hand","D. Saff; M. D. Ernst","Comput. Sci. & Artificial Intelligence Lab, MIT, USA; Comput. Sci. & Artificial Intelligence Lab, MIT, USA","Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.","","2005","","","656","","Frequent execution of a test suite during software maintenance can catch regression errors early, indicate whether progress is being made, and improve productivity. However, if the test suite takes a long time to produce feedback, the developer is slowed down, and the benefit of frequent testing is reduced. After a program is edited, ideally, only changed code would be tested. Any time spent executing previously tested, unchanged parts of the code is wasted. For a large test suite containing many small unit tests, test selection and prioritization can be effective. Test selection runs only those tests that are possibly affected by the most recent change, and test prioritization can run first the tests that are most likely to reveal a recently-introduced error.","0270-5257;1558-1225","1-59593-963","10.1109/ICSE.2005.1553636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553636","","Automatic testing;System testing;Software testing;Computer bugs;Costs;Instruments;Computer science;Artificial intelligence;Debugging;Algorithm design and analysis","software maintenance;program testing","test factoring;software maintenance;regression error;unit testing;test selection;test prioritization;mock object","","1","3","","","","","","IEEE","IEEE Conferences"
"A new software for test logic optimization in DFT","Zhe Zhang; Chen Hu; Rui Li; Youhua Shi; Longxing Shi","Nat. ASIC Syst. Eng. Center, Southeast Univ., Nanjing, China; NA; NA; NA; NA","ASICON 2001. 2001 4th International Conference on ASIC Proceedings (Cat. No.01TH8549)","","2001","","","654","657","This paper presents a new software named ASIC2000TA developed for design for test (DFT) aiming at optimizing test logic. This software consists of two modules: test analysis module and DFT module. Test analysis module can examine a circuit's testability, generate test vectors and perform fault simulation, in which some algorithms are described. DFT module automatically inserts test logic in gate-level netlist, including full scan and partial scan, in which a greedy search algorithm is discussed. Electronic design intermediate format (EDIF) acts as an interface between ASIC2000TA and Cadence. An experiment with ASIC2000TA is presented.","","0-7803-6677","10.1109/ICASIC.2001.982648","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=982648","","Logic testing;Software testing;Circuit testing;Design for testability;Design optimization;Logic design;Performance analysis;Algorithm design and analysis;Performance evaluation;Circuit faults","logic testing;circuit optimisation;application specific integrated circuits;fault simulation;circuit simulation;boundary scan testing;electronic data interchange;design for testability","test logic optimization;ASIC2000TA;test analysis module;test vectors;fault simulation;test logic;gate-level netlist;full scan;partial scan;greedy search algorithm;electronic design intermediate format;Cadence;DFT","","","5","","","","","","IEEE","IEEE Conferences"
